contest,title,english_title,rating,url
第 344 场周赛,找出不同元素数目差数组,Find the Distinct Difference Array,-1,https://leetcode.cn/problems/find-the-distinct-difference-array/
第 344 场周赛,频率跟踪器,Frequency Tracker,-1,https://leetcode.cn/problems/frequency-tracker/
第 344 场周赛,有相同颜色的相邻元素数目,Number of Adjacent Elements With the Same Color,-1,https://leetcode.cn/problems/number-of-adjacent-elements-with-the-same-color/
第 344 场周赛,使二叉树所有路径值相等的最小代价,Make Costs of Paths Equal in a Binary Tree,-1,https://leetcode.cn/problems/make-costs-of-paths-equal-in-a-binary-tree/
第 343 场周赛,保龄球游戏的获胜者,Determine the Winner of a Bowling Game,-1,https://leetcode.cn/problems/determine-the-winner-of-a-bowling-game/
第 343 场周赛,找出叠涂元素,First Completely Painted Row or Column,-1,https://leetcode.cn/problems/first-completely-painted-row-or-column/
第 343 场周赛,前往目标的最小代价,Minimum Cost of a Path With Special Roads,-1,https://leetcode.cn/problems/minimum-cost-of-a-path-with-special-roads/
第 343 场周赛,字典序最小的美丽字符串,Lexicographically Smallest Beautiful String,-1,https://leetcode.cn/problems/lexicographically-smallest-beautiful-string/
第 103 场双周赛,K 个元素的最大和,Maximum Sum With Exactly K Elements ,1213.4070467355,https://leetcode.cn/problems/maximum-sum-with-exactly-k-elements/
第 103 场双周赛,找到两个数组的前缀公共数组,Find the Prefix Common Array of Two Arrays,1304.1180812515,https://leetcode.cn/problems/find-the-prefix-common-array-of-two-arrays/
第 103 场双周赛,网格图中鱼的最大数目,Maximum Number of Fish in a Grid,1489.7210915287,https://leetcode.cn/problems/maximum-number-of-fish-in-a-grid/
第 103 场双周赛,将数组清空,Make Array Empty,2281.8816902545,https://leetcode.cn/problems/make-array-empty/
第 342 场周赛,计算列车到站时间,Calculate Delayed Arrival Time,1168.6157473032,https://leetcode.cn/problems/calculate-delayed-arrival-time/
第 342 场周赛,倍数求和,Sum Multiples,1182.3093772964,https://leetcode.cn/problems/sum-multiples/
第 342 场周赛,滑动子数组的美丽值,Sliding Subarray Beauty,1785.6006955353,https://leetcode.cn/problems/sliding-subarray-beauty/
第 342 场周赛,使数组所有元素变成 1 的最少操作次数,Minimum Number of Operations to Make All Array Elements Equal to 1,1928.7961204946,https://leetcode.cn/problems/minimum-number-of-operations-to-make-all-array-elements-equal-to-1/
第 341 场周赛,一最多的行,Row With Maximum Ones,1174.3019990918,https://leetcode.cn/problems/row-with-maximum-ones/
第 341 场周赛,找出可整除性得分最大的整数,Find the Maximum Divisibility Score,1257.8344655358,https://leetcode.cn/problems/find-the-maximum-divisibility-score/
第 341 场周赛,构造有效字符串的最少插入数,Minimum Additions to Make Valid String,1477.7669322402,https://leetcode.cn/problems/minimum-additions-to-make-valid-string/
第 341 场周赛,最小化旅行的价格总和,Minimize the Total Price of the Trips,2238.2830745228,https://leetcode.cn/problems/minimize-the-total-price-of-the-trips/
